ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
EWY,2026050623,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-06 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,182.02,-0.022250302164597335,-0.01032853532578848,0.002032743654543312,-0.0008240852653554898,
EWY,2026050701,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,180.1,0.0002220988339811658,-0.0007218212104386224,0.020266518600777328,0.004386451971127192,
EWY,2026050702,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,180.14,-0.001498834240035385,0.012490285333629503,0.013322971022537988,0.007938270234262301,
EWY,2026050703,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,179.87,0.0005559570801134672,0.016734308111413743,0.007672207705565093,-0.004058486684828,
EWY,2026050704,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,179.97,0.013446685558704097,0.02100350058343059,0.009112629882758405,-0.010724009557148473,
EWY,2026050705,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,182.39,0.0026865507977411607,0.0008224135095125096,-0.0028510334996435516,-0.023849991775864887,
EWY,2026050706,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,182.88,0.004757217847769057,-0.00891294838145229,-0.005249343832021025,-0.028051181102362155,
EWY,2026050707,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,183.75,-0.00658503401360544,-0.011646258503401286,-0.015564625850340241,-0.03749659863945576,
EWY,2026050708,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,182.54,-0.0070669442314013065,-0.0036704283992549103,-0.005313903801906439,-0.026569519009532083,
EWY,2026050709,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.25,0.001986206896551712,0.003696551724137853,-0.011641379310344924,,
EWY,2026050710,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.61,0.0014316392269146938,-0.003964539397610434,-0.019657507846484346,,
EWY,2026050711,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.87,0.0002749216473303395,-0.0016495298839831474,-0.021058998185517153,,
EWY,2026050712,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.92,-0.0056618293755497096,-0.01528144239226037,-0.022922163588390387,,
EWY,2026050713,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,180.89,0.0037591906683620557,-0.01575543147769365,-0.022278732931615752,,
EWY,2026050714,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,181.57,-0.013383268161039852,-0.019441537698959066,-0.021369168915569725,,
EWY,2026050715,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,179.14,-0.006140448810985744,-0.007759294406609274,,,
EWY,2026050716,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,178.04,0.0,-0.006627724106942123,,,
EWY,2026050717,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,178.04,-0.0016288474500112393,-0.0019658503707031816,,,
EWY,2026050718,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,177.75,-0.005007032348804397,,,,
EWY,2026050719,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,176.86,0.004692977496324691,,,,
EWY,2026050720,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,177.69,,,,,
EWY,2026050721,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050722,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050723,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-07 23:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050801,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050802,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050803,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050804,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050805,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050806,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050807,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050808,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050809,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050810,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050811,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050812,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050813,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050814,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050815,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050816,1.0,1,384309.9071,0.0,0,384309.9071,100,1,1.0,0.0,2026-05-08 16:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050817,1.0,1,382760.52923244954,0.0,0,382760.52923244954,100,1,1.0,0.0,2026-05-08 17:00:00+00:00,0.0,-1549.3778675504727,-1549.3778675504727,0.0,long,False,True,False,False,,,,,,
EWY,2026050818,1.0,1,369843.26358417026,0.0,0,369843.26358417026,100,1,1.0,0.0,2026-05-08 18:00:00+00:00,0.0,-12917.26564827928,-12917.26564827928,0.0,long,False,True,False,False,,,,,,
EWY,2026050819,1.0,1,369843.26358417026,0.0,0,369843.26358417026,100,1,1.0,0.0,2026-05-08 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050820,1.0,1,369843.26358417026,0.0,0,369843.26358417026,100,1,1.0,0.0,2026-05-08 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
EWY,2026050821,1.0,1,369843.26358417026,0.0,0,369843.26358417026,100,1,1.0,0.0,2026-05-08 21:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
ADA,2026050607,1.0,1,3831.902,0.0,0,3831.902,100,1,1.0,0.0,2026-05-06 07:00:00+00:00,,,,,long,False,False,False,False,0.2648,0.02681268882175214,0.0226586102719033,0.0011329305135951984,0.00566465256797577,0.013217522658610203
ADA,2026050608,1.0,1,3831.902,0.0,0,3831.902,100,1,1.0,0.0,2026-05-06 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2719,0.0033100404560499896,-0.0007355645457888249,-0.02280250091945557,-0.020963589554983342,-0.015079073188672298
ADA,2026050609,1.0,1,8104.014000000003,0.0,0,8104.014000000003,100,1,1.0,0.0,2026-05-06 09:00:00+00:00,0.0,4272.112000000003,4272.112000000003,0.0,long,True,False,False,False,0.2728,-0.007331378299120228,-0.003665689149560114,-0.019428152492668493,-0.01576246334310838,-0.021994134897360684
ADA,2026050610,1.0,1,6098.924084516131,0.0,0,6098.924084516131,100,1,1.0,0.0,2026-05-06 10:00:00+00:00,0.0,-2005.0899154838717,-2005.0899154838717,0.0,long,False,True,False,False,0.2708,0.0033234859675037587,-0.021048744460856694,-0.015140324963072382,-0.018833087149187522,-0.014032496307237685
ADA,2026050611,1.0,1,6098.924084516131,0.0,0,6098.924084516131,100,1,1.0,0.0,2026-05-06 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2717,0.0003680529996319404,-0.022083179977916867,-0.022451232977548696,-0.01803459698196541,-0.014354066985646008
ADA,2026050612,1.0,1,3821.9575703225823,0.0,0,3821.9575703225823,100,1,1.0,0.0,2026-05-06 12:00:00+00:00,0.0,-2276.966514193549,-2276.966514193549,0.0,long,False,True,False,False,0.2718,-0.024650478292862377,-0.015820456217807144,-0.02207505518763797,-0.02391464311994118,-0.010301692420897623
ADA,2026050613,1.0,1,3821.9575703225823,0.0,0,3821.9575703225823,100,1,1.0,0.0,2026-05-06 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2651,0.0022632968691058686,0.006035458317615872,0.004526593738211959,0.0,0.003394945303659025
ADA,2026050614,1.0,1,3821.9575703225823,0.0,0,3821.9575703225823,100,1,1.0,0.0,2026-05-06 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2657,0.006774557771923373,-0.00037636432066234793,0.0018818216033120727,-0.004140007527286382,-0.007527286413248069
ADA,2026050615,1.0,1,3821.9575703225823,0.0,0,3821.9575703225823,100,1,1.0,0.0,2026-05-06 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2675,-0.0029906542056075125,-0.006355140186915964,0.0037383177570093906,-0.014579439252336512,-0.021682242990654355
ADA,2026050622,1.0,1,13257.283000000043,0.0,0,13257.283000000043,100,1,1.0,0.0,2026-05-06 22:00:00+00:00,0.0,9435.325429677461,9435.325429677461,0.0,long,True,False,False,False,0.2657,0.004140007527286382,-0.0022581859239744206,-0.0018818216033119617,0.0048927361686113,-0.015054572826496027
ADA,2026050623,1.0,1,26002.847000000205,0.0,0,26002.847000000205,100,1,1.0,0.0,2026-05-06 23:00:00+00:00,0.0,12745.564000000162,12745.564000000162,0.0,long,True,False,False,False,0.2668,-0.005622188905547221,-0.008245877061469176,-0.002623688155921955,0.0037481259370315545,-0.016116941529235262
ADA,2026050701,1.0,1,26002.847000000205,0.0,0,26002.847000000205,100,1,1.0,0.0,2026-05-07 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2651,-0.0018860807242550015,0.0003772161448509781,0.012070916635231965,0.003394945303659025,-0.012825348924934032
ADA,2026050702,1.0,1,26002.847000000205,0.0,0,26002.847000000205,100,1,1.0,0.0,2026-05-07 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2646,-0.0037792894935751997,0.005668934240362855,0.012093726379440506,-0.003401360544217691,-0.013227513227513255
ADA,2026050703,1.0,1,26002.847000000205,0.0,0,26002.847000000205,100,1,1.0,0.0,2026-05-07 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2636,0.006069802731411222,0.01479514415781491,0.012139605462822445,-0.007207890743550882,-0.007207890743550882
ADA,2026050704,1.0,1,26002.847000000205,0.0,0,26002.847000000205,100,1,1.0,0.0,2026-05-07 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2652,0.0033936651583710287,0.011689291101055765,0.006787330316742279,-0.012820512820512886,-0.011689291101055765
ADA,2026050705,1.0,1,26002.847000000205,0.0,0,26002.847000000205,100,1,1.0,0.0,2026-05-07 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2661,0.005261180007515964,0.0063885757234121154,0.0063885757234121154,-0.013528748590755368,-0.018789928598271333
ADA,2026050706,1.0,1,12591.38474943692,0.0,0,12591.38474943692,100,1,1.0,0.0,2026-05-07 06:00:00+00:00,0.0,-13411.462250563285,-13411.462250563285,0.0,long,False,True,False,False,0.2675,0.0029906542056072905,-0.0026168224299066845,0.005607476635514086,-0.01607476635514027,-0.02317757009345811
ADA,2026050707,1.0,1,12591.38474943692,0.0,0,12591.38474943692,100,1,1.0,0.0,2026-05-07 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2683,-0.00186358553857624,-0.004845322400298002,-0.008572493477450482,-0.02049944092433842,-0.02385389489377543
ADA,2026050708,1.0,1,17134.341749436935,0.0,0,17134.341749436935,100,1,1.0,0.0,2026-05-07 08:00:00+00:00,0.0,4542.957000000015,4542.957000000015,0.0,long,True,False,False,False,0.2678,-0.0037341299477221535,0.0,-0.015309932785660951,-0.0235250186706496,-0.016803584764749857
ADA,2026050709,1.0,1,17134.341749436935,0.0,0,17134.341749436935,100,1,1.0,0.0,2026-05-07 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2668,0.0007496251874063997,0.008245877061469509,-0.01911544227886053,-0.020239880059969906,-0.013118440779610219
ADA,2026050710,1.0,1,17134.341749436935,0.0,0,17134.341749436935,100,1,1.0,0.0,2026-05-07 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.267,0.0029962546816477698,-0.0037453183520599342,-0.019475655430711725,-0.019850187265917696,-0.011985018726591856
ADA,2026050711,1.0,1,17134.341749436935,0.0,0,17134.341749436935,100,1,1.0,0.0,2026-05-07 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2678,0.004480955937266717,-0.015309932785660951,-0.019790888722927447,-0.019790888722927447,-0.013816280806572045
ADA,2026050712,1.0,1,17134.341749436935,0.0,0,17134.341749436935,100,1,1.0,0.0,2026-05-07 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.269,-0.01115241635687736,-0.027137546468401608,-0.021561338289962872,-0.02639405204460965,-0.019330855018587445
ADA,2026050713,1.0,1,17134.341749436935,0.0,0,17134.341749436935,100,1,1.0,0.0,2026-05-07 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.266,-0.008646616541353458,-0.015789473684210686,-0.012030075187970057,-0.016165413533834716,-0.007894736842105177
ADA,2026050714,1.0,1,17134.341749436935,0.0,0,17134.341749436935,100,1,1.0,0.0,2026-05-07 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2637,-0.007584376185058805,-0.00455062571103515,-0.008342813803564608,-0.009859689040576325,0.013272658323852937
ADA,2026050715,1.0,1,17134.341749436935,0.0,0,17134.341749436935,100,1,1.0,0.0,2026-05-07 15:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2617,0.00038211692777978534,0.0057317539166985565,-0.001146350783339578,0.0,0.017577378677875455
ADA,2026050716,1.0,1,12576.176025622732,0.0,0,12576.176025622732,100,1,1.0,0.0,2026-05-07 16:00:00+00:00,0.0,-4558.165723814203,-4558.165723814203,0.0,long,False,True,False,False,0.2618,0.002673796791444083,0.0038197097020626902,-0.0003819709702062024,0.0011459129106188293,0.02291825821237592
ADA,2026050717,1.0,1,12576.176025622732,0.0,0,12576.176025622732,100,1,1.0,0.0,2026-05-07 17:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2625,0.002666666666666595,-0.003809523809523818,0.0,-0.005333333333333412,0.031619047619047436
ADA,2026050718,1.0,1,12576.176025622732,0.0,0,12576.176025622732,100,1,1.0,0.0,2026-05-07 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2632,-0.001519756838905817,-0.006838905775075843,-0.004939209726443683,-0.007218844984802519,0.03381458966565365
ADA,2026050719,1.0,1,12576.176025622732,0.0,0,12576.176025622732,100,1,1.0,0.0,2026-05-07 19:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2628,-0.0049467275494671226,-0.004185692541856856,-0.004185692541856856,-0.003424657534246367,0.0338660578386607
ADA,2026050720,1.0,1,12576.176025622732,0.0,0,12576.176025622732,100,1,1.0,0.0,2026-05-07 20:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2615,-0.00038240917782017547,0.003824091778202643,-0.001529636711281146,0.006883365200764713,0.037858508604206254
ADA,2026050721,1.0,1,7760.051098068753,0.0,0,7760.051098068753,100,1,1.0,0.0,2026-05-07 21:00:00+00:00,0.0,-4816.1249275539785,-4816.1249275539785,0.0,long,False,True,False,False,0.2614,0.0011476664116296664,0.0019127773527161107,0.0011476664116296664,0.007268553940321221,0.04055087987758221
ADA,2026050722,1.0,1,22005.397098068956,0.0,0,22005.397098068956,100,1,1.0,0.0,2026-05-07 22:00:00+00:00,0.0,14245.346000000201,14245.346000000201,0.0,long,True,False,False,False,0.2617,0.003056935422239393,0.0,0.0015284677111195855,0.008024455483377935,0.050439434466946764
ADA,2026050723,1.0,1,28421.341098069002,0.0,0,28421.341098069002,100,1,1.0,0.0,2026-05-07 23:00:00+00:00,0.0,6415.944000000047,6415.944000000047,0.0,long,True,False,False,False,0.2625,-0.0022857142857142243,-0.005333333333333412,-0.005333333333333412,0.0060952380952381535,0.041523809523809296
ADA,2026050801,1.0,1,44210.45509806907,0.0,0,44210.45509806907,100,1,1.0,0.0,2026-05-08 01:00:00+00:00,0.0,15789.114000000067,15789.114000000067,0.0,long,True,False,False,False,0.2617,-0.002292701566679378,0.0015284677111195855,0.0007642338555600148,0.008406572411157942,0.060374474589224514
ADA,2026050802,1.0,1,45263.08009806909,0.0,0,45263.08009806909,100,1,1.0,0.0,2026-05-08 02:00:00+00:00,0.0,1052.6250000000218,1052.6250000000218,0.0,long,True,False,False,False,0.2611,0.0022979701263883268,0.0,0.00842589046342379,0.023362696284948248,0.06051321332822668
ADA,2026050803,1.0,1,45263.08009806909,0.0,0,45263.08009806909,100,1,1.0,0.0,2026-05-08 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2617,0.0015284677111195855,-0.0015284677111196965,0.006113870844478342,0.017577378677875455,0.055789071455865535
ADA,2026050804,1.0,1,45263.08009806909,0.0,0,45263.08009806909,100,1,1.0,0.0,2026-05-08 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2621,-0.0038153376573827336,-0.0007630675314764801,0.006486074017550525,0.021747424647081237,0.053796260969095844
ADA,2026050805,1.0,1,45263.08009806909,0.0,0,45263.08009806909,100,1,1.0,0.0,2026-05-08 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2611,0.0007659900421292942,0.00842589046342379,0.011489850631941856,0.03715051704327843,0.05476828801225575
ADA,2026050806,1.0,1,45263.08009806909,0.0,0,45263.08009806909,100,1,1.0,0.0,2026-05-08 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2613,0.0022962112514353095,0.007654037504783773,0.009567546880979716,0.04133180252583246,0.05510907003444321
ADA,2026050807,1.0,1,45263.08009806909,0.0,0,45263.08009806909,100,1,1.0,0.0,2026-05-08 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2619,0.005345551737304222,0.0072546773577699675,0.0076365024818632055,0.037418862161129995,0.04925544100801815
ADA,2026050808,1.0,1,45263.08009806909,0.0,0,45263.08009806909,100,1,1.0,0.0,2026-05-08 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2633,0.0,0.0030383592859857256,0.014812001519179718,0.030763387770603945,0.047094568932776415
ADA,2026050809,1.0,1,45263.08009806909,0.0,0,45263.08009806909,100,1,1.0,0.0,2026-05-08 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2633,0.0018989745537409952,0.0018989745537409952,0.011393847322445971,0.033042157235093184,
ADA,2026050810,1.0,1,45263.08009806909,0.0,0,45263.08009806909,100,1,1.0,0.0,2026-05-08 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2638,0.0011372251705838998,0.000379075056861522,0.015163002274450443,0.04207733131159963,
ADA,2026050811,1.0,1,45263.08009806909,0.0,0,45263.08009806909,100,1,1.0,0.0,2026-05-08 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2641,-0.0011359333585764242,0.011737978038621755,0.02536917834153729,0.03521393411586504,
ADA,2026050812,1.0,1,45263.08009806909,0.0,0,45263.08009806909,100,1,1.0,0.0,2026-05-08 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2638,0.000379075056861522,0.009476876421531388,0.031463229719484564,0.04169825625473855,
ADA,2026050813,1.0,1,45263.08009806909,0.0,0,45263.08009806909,100,1,1.0,0.0,2026-05-08 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2639,0.012504736642667602,0.01477832512315258,0.029556650246305383,0.051534672224327505,
ADA,2026050814,1.0,1,45263.08009806909,0.0,0,45263.08009806909,100,1,1.0,0.0,2026-05-08 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2672,-0.0033682634730539673,0.013473053892215647,0.01571856287425133,0.036302395209580895,
